Timestamp,"Generation, Active Gross Power (MW)","Generation, Reactive Gross Power (MVAR)","OEC, Exhaust Pressure Turbine CW (Bara)","OEC, Exhaust Pressure Turbine CCW (Bara)",Ambient Temp (C),"Spesific Steam - Brine, Consumption (kg/MW)","Steam, Main Steam Press (barg)","Steam, Main Steam Temp (C)","Brine, Brine Header Press (barg)","Brine, Brine Header Temp (C)","IJN-6-1, WHP (barg)","IJN-6-1, Valve Open (%)","IJN-6-1, 2 Phase Line Press (barg)","IJN-6-1, 2 Phase Line Temp (C)","IJN-6-2, WHP (barg)","IJN-6-2, Valve Open (%)","IJN-6-2, 2 Phase Line Press (barg)","IJN-6-2, 2 Phase Line Temp (C)","IJN-6-3, WHP (barg)","IJN-6-3, Valve Open (%)","IJN-6-3, 2 Phase Line Press (barg)","IJN-6-3, 2 Phase Line Temp (C)","IJN-6-4, WHP (barg)","IJN-6-4, Valve Open (%)","IJN-6-4, 2 Phase Line Press (barg)","IJN-6-4, 2 Phase Line Temp (C)","Pad 6, Separator Temp (C)","Pad 6, Separator Pressure (barg)","Pad 6, Steam Flow (kg/s)","IJN-8-1, WHP (barg)","IJN-8-1, Valve Open (%)","IJN-8-1, 2 Phase Line Press (barg)","IJN-8-1, 2 Phase Line Temp (C)","IJN-8-2, WHP (barg)","IJN-8-2, Valve Open (%)","IJN-8-2, 2 Phase Line Press (barg)","IJN-8-2, 2 Phase Line Temp (C)","Pad 8, Separator Temp (C)","Pad 8, Separator Pressure (barg)","Pad 8, Separator Temp (kg/s)","Pad 6 & Pad 8, Main Steam Flowrate (kg/s)","Pad 6 & Pad 8, Brine Flowrate (kg/s)","Pad 6 & Pad 8, Total Flowrate (kg/s)","IJN-5-1, Injection Press (Bara)","IJN-5-1, Injection Flow (kg/s)","IJN-5-1, Injection Temp (C)","IJN-5-1, Valve Open (%)","IJN-5-1, WHP (barg)","DUPE, IGNORE (1)","DUPE, IGNORE(2)","Header Reinjection Pump, Temperature (C)","Header Reinjection Pump, Pressure (Bara)","Brine Bypass Pre-heater, Opening CV-A (%)","Brine Bypass Pre-heater, Opening CV-B (%)","Preheater, Outlet Temp (C)","Separator IJN-6, Opening Brine Dump Valve A (%)","Separator IJN-6, Opening Brine Dump Valve B (%)","Separator IJN-8, Opening Brine Dump Valve A (%)","Separator IJN-8, Opening Brine Dump Valve B (%)","Rock Muffler, Opening Steam Dump Valve A (%)","Rock Muffler, Opening Steam Dump Valve B (%)",Source DGR,Delta Pressure_Barg
15-06-2025 2100H,34.318,6.024,0.83,0.835,17.609,4.201,12.905,193.643,15.536,193.853,27.154,18.11,14.008,198.109,30.126,17.983,13.819,195.934,19.41,41.083,14.125,196.204,20.329,40.488,14.054,197.696,195.282,13.338,44.113,6.277,9.974,0.0,81.491,21.981,47.968,13.589,191.632,195.173,13.239,3.29,51.045,93.115,144.16,12.299,132.009,93.222,14.575,6.859,15.536,193.853,88.75,14.869,1.048,0.291,92.869,0.109,0.128,2.765,0.087,0.604,0.416,Daily Generation Report_2025.06.15.xlsx,
15-06-2025 2200H,34.257,4.584,0.837,0.845,17.512,4.301,12.864,193.504,15.746,193.832,26.608,18.11,13.965,197.965,30.149,17.983,13.786,195.829,19.359,41.564,14.101,196.103,20.416,40.99,14.036,197.568,195.145,13.297,44.065,6.555,9.974,0.0,81.3,21.995,48.324,13.551,191.517,195.029,13.198,3.345,51.528,95.798,147.325,12.466,133.828,92.561,14.575,6.954,15.746,193.832,88.62,15.06,1.053,0.296,91.96,0.109,0.131,1.705,0.087,0.608,0.414,Daily Generation Report_2025.06.15.xlsx,
15-06-2025 2300H,34.414,3.891,0.812,0.825,17.307,4.243,12.952,193.805,15.787,194.133,26.659,18.11,14.041,198.194,30.161,17.981,13.863,196.088,19.392,41.974,14.181,196.357,20.35,40.615,14.105,197.816,195.417,13.379,43.816,6.836,9.973,0.0,81.146,22.007,47.928,13.629,191.756,195.272,13.282,3.676,50.382,95.629,146.011,12.407,133.661,93.423,14.575,6.977,15.787,194.133,88.799,15.095,1.049,0.299,91.852,0.108,0.134,0.616,0.086,0.612,0.393,Daily Generation Report_2025.06.15.xlsx,
16-06-2025 0000H,34.498,3.386,0.839,0.845,17.519,4.116,13.022,193.961,15.191,194.221,27.461,18.109,14.126,198.458,30.179,17.98,13.942,196.33,19.207,41.975,14.246,196.475,20.192,40.985,14.18,197.902,195.61,13.464,44.319,6.939,9.971,0.0,81.03,22.037,47.56,13.698,191.87,195.418,13.353,3.032,50.46,91.529,141.989,11.842,131.081,93.67,14.574,6.621,15.191,194.221,88.824,14.49,1.041,0.298,90.733,0.858,0.138,0.872,0.862,1.514,1.114,Daily Generation Report_2025.06.15.xlsx,
16-06-2025 0100H,34.157,2.631,0.861,0.87,17.586,4.346,12.894,193.62,15.958,193.873,26.793,17.458,13.985,198.022,30.191,17.435,13.816,195.99,19.251,41.975,14.133,196.245,20.411,41.699,14.08,197.791,195.237,13.325,43.971,7.189,9.971,0.0,80.95,22.04,48.336,13.577,191.616,195.126,13.227,3.653,51.779,96.654,148.433,12.547,134.614,93.789,14.575,7.043,15.958,193.873,89.416,15.239,1.039,0.299,91.17,0.107,0.146,0.069,0.085,1.546,1.051,Daily Generation Report_2025.06.16.xlsx,
16-06-2025 0200H,34.285,2.882,0.888,0.908,18.271,4.302,12.864,193.514,15.833,193.77,27.679,16.535,13.964,197.971,30.202,17.197,13.795,195.871,19.277,41.974,14.112,196.169,20.365,41.869,14.06,197.804,195.169,13.304,44.651,7.33,9.97,0.0,80.836,22.038,49.071,13.551,191.496,195.011,13.2,4.181,52.633,94.851,147.484,12.488,133.94,94.405,14.575,7.056,15.833,193.77,89.748,15.112,1.033,0.302,90.933,0.107,0.144,0.069,0.085,0.903,0.4,Daily Generation Report_2025.06.16.xlsx,
16-06-2025 0300H,33.956,3.162,0.906,0.933,18.994,4.322,12.791,193.237,15.716,193.765,27.148,16.1,13.877,197.658,30.198,17.0,13.716,195.555,19.207,41.973,14.033,195.922,20.23,42.413,13.986,197.496,194.881,13.225,44.355,7.331,9.966,0.0,80.677,22.035,49.451,13.484,191.258,194.73,13.127,3.953,51.803,94.967,146.77,12.352,133.46,94.218,14.575,6.948,15.716,193.765,89.659,14.983,1.027,0.299,90.934,0.108,0.137,0.069,0.085,0.899,0.4,Daily Generation Report_2025.06.16.xlsx,
16-06-2025 0400H,34.027,2.862,0.899,0.931,19.088,4.364,12.805,193.278,16.022,193.808,27.103,16.099,13.9,197.702,30.191,17.0,13.735,195.565,19.221,41.996,14.053,195.979,20.203,42.897,14.012,197.608,194.927,13.24,44.374,7.3,9.964,0.0,80.502,22.022,49.268,13.497,191.292,194.783,13.141,3.949,51.686,96.822,148.508,12.683,134.818,94.581,14.575,7.186,16.022,193.808,89.752,15.276,1.029,0.295,91.076,0.108,0.135,0.069,0.085,0.896,0.399,Daily Generation Report_2025.06.16.xlsx,
16-06-2025 0500H,34.164,3.596,0.885,0.921,18.935,4.237,12.824,193.403,15.798,193.907,27.552,16.101,13.926,197.874,30.199,16.524,13.758,195.639,19.201,42.026,14.074,196.045,20.031,42.837,14.031,197.781,195.088,13.269,44.813,7.199,9.966,0.0,80.303,22.014,49.297,13.518,191.43,194.927,13.162,3.99,51.968,92.797,144.765,12.254,132.584,94.345,14.575,6.934,15.798,193.907,88.9,15.047,1.034,0.296,90.619,0.107,0.141,0.069,0.085,0.899,0.398,Daily Generation Report_2025.06.16.xlsx,
16-06-2025 0600H,33.971,3.782,0.863,0.901,18.674,4.313,12.762,193.183,16.213,193.739,27.177,16.102,13.85,197.585,30.208,16.021,13.685,195.365,19.204,41.999,14.003,195.752,19.879,42.874,13.954,197.406,194.824,13.194,44.185,7.019,9.97,0.0,80.095,22.004,50.003,13.459,191.223,194.698,13.1,3.84,50.836,95.668,146.505,12.47,134.102,93.619,14.575,7.011,16.213,193.739,88.939,15.452,1.037,0.297,91.173,0.108,0.14,0.069,0.086,0.898,0.402,Daily Generation Report_2025.06.16.xlsx,
